日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-12-27,'600665,天地源,3.51,3.55,3.51,3.54,3.54,-0.03,-0.8475,0.2405,2078175,7331396.0,3033070048.71,3033070048.71
2019-12-26,'600665,天地源,3.54,3.54,3.5,3.51,3.49,0.05,1.4327,0.1979,1710375,6016358.0,3058993724.34,3058993724.34
2019-12-25,'600665,天地源,3.49,3.53,3.48,3.52,3.52,-0.03,-0.8523,0.134,1158056,4057735.0,3015787598.29,3015787598.29
2019-12-24,'600665,天地源,3.52,3.52,3.45,3.47,3.48,0.04,1.1494,0.1318,1138675,3982315.0,3041711273.92,3041711273.92
2019-12-23,'600665,天地源,3.48,3.56,3.48,3.53,3.56,-0.08,-2.2472,0.1284,1109400,3909658.0,3007146373.08,3007146373.08
2019-12-20,'600665,天地源,3.56,3.58,3.55,3.58,3.58,-0.02,-0.5587,0.1632,1410625,5025849.0,3076276174.76,3076276174.76
2019-12-19,'600665,天地源,3.58,3.59,3.55,3.56,3.56,0.02,0.5618,0.2105,1819200,6485034.0,3093558625.18,3093558625.18
2019-12-18,'600665,天地源,3.56,3.61,3.55,3.6,3.59,-0.03,-0.8357,0.241,2082655,7456065.0,3076276174.76,3076276174.76
2019-12-17,'600665,天地源,3.59,3.68,3.52,3.58,3.58,0.01,0.2793,0.5935,5128418,18391235.0,3102199850.39,3102199850.39
2019-12-16,'600665,天地源,3.58,3.75,3.44,3.48,3.48,0.1,2.8736,0.5777,4991754,17741912.0,3093558625.18,3093558625.18
2019-12-13,'600665,天地源,3.48,3.49,3.42,3.42,3.41,0.07,2.0528,0.3227,2788892,9642899.0,3007146373.08,3007146373.08
2019-12-12,'600665,天地源,3.41,3.43,3.39,3.42,3.42,-0.01,-0.2924,0.1172,1012800,3451789.0,2946657796.61,2946657796.61
2019-12-11,'600665,天地源,3.42,3.44,3.41,3.42,3.41,0.01,0.2933,0.1682,1453065,4976300.0,2955299021.82,2955299021.82
2019-12-10,'600665,天地源,3.41,3.42,3.39,3.41,3.41,0.0,0.0,0.0857,740165,2519281.0,2946657796.61,2946657796.61
2019-12-09,'600665,天地源,3.41,3.44,3.39,3.42,3.42,-0.01,-0.2924,0.1352,1168160,3979794.0,2946657796.61,2946657796.61
