»’∆⁄,π…∆±¥˙¬Î,√˚≥∆, ’≈Ãº€,◊Ó∏ﬂº€,◊ÓµÕº€,ø™≈Ãº€,«∞ ’≈Ã,’«µ¯∂Ó,’«µ¯∑˘,ªª ÷¬ ,≥…Ωª¡ø,≥…ΩªΩ∂Ó,◊‹ –÷µ,¡˜Õ® –÷µ
2019-12-27,'002761,∂‡œ≤∞Æ,11.68,12.3,11.6,12.27,12.35,-0.67,-5.4251,6.7831,23523844,280720621.06,4050624000.0,4050624000.0
2019-12-26,'002761,∂‡œ≤∞Æ,12.35,13.0,11.75,12.2,11.99,0.36,3.0025,12.7055,44062706,540562971.84,4282980000.0,4282980000.0
2019-12-25,'002761,∂‡œ≤∞Æ,11.99,11.99,11.32,11.33,10.9,1.09,10.0,4.467,15491702,183001717.38,4158132000.0,4158132000.0
2019-12-24,'002761,∂‡œ≤∞Æ,10.9,11.99,10.56,11.73,11.73,-0.83,-7.0759,6.2821,21786477,241994709.88,3780120000.0,3780120000.0
2019-12-23,'002761,∂‡œ≤∞Æ,11.73,12.14,11.42,11.62,11.84,-0.11,-0.9291,4.7514,16477845,194567621.36,4067964000.0,4067964000.0
2019-12-20,'002761,∂‡œ≤∞Æ,11.84,11.98,11.35,11.49,11.43,0.41,3.5871,6.9821,24213974,284293421.97,4106112000.0,4106112000.0
2019-12-19,'002761,∂‡œ≤∞Æ,11.43,11.5,11.12,11.18,11.32,0.11,0.9717,4.1837,14509112,164106001.78,3963924000.0,3963924000.0
2019-12-18,'002761,∂‡œ≤∞Æ,11.32,11.76,11.3,11.5,11.56,-0.24,-2.0761,4.5773,15874219,182072182.85,3925776000.0,3925776000.0
2019-12-17,'002761,∂‡œ≤∞Æ,11.56,11.99,11.45,11.56,11.62,-0.06,-0.5164,6.3739,22104810,258151555.58,4009008000.0,4009008000.0
2019-12-16,'002761,∂‡œ≤∞Æ,11.62,12.0,10.8,11.06,11.14,0.48,4.3088,6.7179,23297578,263650336.46,4029816000.0,4029816000.0
