хуфз,╧иф╠╢ЗбК,цШЁф,йуел╪ш,вН╦ъ╪ш,вН╣м╪ш,©╙ел╪ш,г╟йуел,уг╣Ь╤Н,уг╣Ь╥Ы,╩╩йжбй,Ёи╫╩а©,Ёи╫╩╫П╤Н,вэйпж╣,аВм╗йпж╣
2019-12-27,'000502,бл╬╟©ь╧и,7.28,7.32,7.16,7.18,7.18,0.1,1.3928,0.871,1597066,11569724.02,1345486738.96,1334785138.96
2019-12-26,'000502,бл╬╟©ь╧и,7.18,7.25,7.11,7.16,7.1,0.08,1.1268,0.5679,1041300,7470537.0,1327004778.26,1316450178.26
2019-12-25,'000502,бл╬╟©ь╧и,7.1,7.15,7.05,7.1,7.12,-0.02,-0.2809,0.5716,1048112,7443762.85,1312219209.7,1301782209.7
2019-12-24,'000502,бл╬╟©ь╧и,7.12,7.13,6.98,7.07,7.01,0.11,1.5692,1.0619,1946911,13737970.81,1315915601.84,1305449201.84
2019-12-23,'000502,бл╬╟©ь╧и,7.01,7.21,6.99,7.2,7.2,-0.19,-2.6389,0.9961,1826369,12949613.97,1295585445.07,1285280745.07
2019-12-20,'000502,бл╬╟©ь╧и,7.2,7.27,7.18,7.18,7.17,0.03,0.4184,1.0643,1951301,14069541.22,1330701170.4,1320117170.4
2019-12-19,'000502,бл╬╟©ь╧и,7.17,7.22,7.03,7.06,7.08,0.09,1.2712,0.9667,1772500,12640751.0,1325156582.19,1314616682.19
2019-12-18,'000502,бл╬╟©ь╧и,7.08,7.1,7.0,7.08,7.06,0.02,0.2833,0.8402,1540561,10880165.27,1308522817.56,1298115217.56
2019-12-17,'000502,бл╬╟©ь╧и,7.06,7.08,6.96,6.99,6.99,0.07,1.0014,1.0537,1931994,13571533.01,1304826425.42,1294448225.42
2019-12-16,'000502,бл╬╟©ь╧и,6.99,7.01,6.94,6.99,6.96,0.03,0.431,0.517,947839,6611400.82,1291889052.93,1281613752.93
2019-12-13,'000502,бл╬╟©ь╧и,6.96,7.06,6.95,7.02,7.03,-0.07,-0.9957,0.7556,1385443,9678099.17,1286344464.72,1276113264.72
2019-12-12,'000502,бл╬╟©ь╧и,7.03,7.03,6.93,6.95,7.0,0.03,0.4286,0.6637,1216945,8470104.87,1299281837.21,1288947737.21
2019-12-11,'000502,бл╬╟©ь╧и,7.0,7.18,6.94,7.09,7.03,-0.03,-0.4267,1.0189,1868100,13164005.98,1293737249.0,1283447249.0
2019-12-10,'000502,бл╬╟©ь╧и,7.03,7.1,6.96,7.09,7.06,-0.03,-0.4249,0.655,1200968,8417904.34,1299281837.21,1288947737.21
2019-12-09,'000502,бл╬╟©ь╧и,7.06,7.11,7.03,7.1,7.05,0.01,0.1418,0.3263,598300,4232537.0,1304826425.42,1294448225.42
2019-12-06,'000502,бл╬╟©ь╧и,7.05,7.07,6.98,7.06,7.05,0.0,0.0,0.3636,666700,4685643.0,1302978229.35,1292614729.35
2019-12-05,'000502,бл╬╟©ь╧и,7.05,7.1,6.99,7.1,7.05,0.0,0.0,0.5045,925010,6504036.4,1302978229.35,1292614729.35
2019-12-04,'000502,бл╬╟©ь╧и,7.05,7.11,7.03,7.03,7.1,-0.05,-0.7042,0.2641,484301,3419784.04,1302978229.35,1292614729.35
2019-12-03,'000502,бл╬╟©ь╧и,7.1,7.13,6.98,7.02,7.02,0.08,1.1396,0.5127,939959,6630713.66,1312219209.7,1301782209.7
2019-12-02,'000502,бл╬╟©ь╧и,7.02,7.2,6.95,7.01,7.03,-0.01,-0.1422,0.4736,868299,6152696.18,1297433641.14,1287114241.14
