�梪�,嘖き測鎢,靡備,彶攫歎,郔詢歎,郔腴歎,羲攫歎,ヶ彶攫,梀視塗,梀視盟,遙忒薹,傖蝠講,傖蝠踢塗,軞庈硉,霜籵庈硉
2019-12-27,'603605,賙應捇,88.81,90.5,88.8,88.9,88.96,-0.15,-0.1686,1.9991,1241273,111213638.0,17874749623.6,5514372758.0
2019-12-26,'603605,賙應捇,88.96,89.87,88.5,89.87,89.6,-0.64,-0.7143,1.7285,1073244,95432317.0,17904940057.6,5523686528.0
2019-12-25,'603605,賙應捇,89.6,91.0,89.13,90.57,90.58,-0.98,-1.0819,1.8398,1142339,102544067.0,18033752576.0,5563425280.0
2019-12-24,'603605,賙應捇,90.58,90.72,87.65,88.9,88.93,1.65,1.8554,2.1091,1309557,117164162.0,18230996744.8,5624275244.0
2019-12-23,'603605,賙應捇,88.93,91.2,88.6,89.74,89.8,-0.87,-0.9688,1.7346,1077062,96484545.0,17898901970.8,5521823774.0
2019-12-20,'603605,賙應捇,89.8,90.97,89.21,90.57,90.57,-0.77,-0.8502,0.8307,515802,46221790.0,18074006488.0,5575843640.0
2019-12-19,'603605,賙應捇,90.57,90.59,88.0,89.0,89.0,1.57,1.764,1.9286,1197509,106682815.0,18228984049.2,5623654326.0
2019-12-18,'603605,賙應捇,89.0,90.5,88.1,89.82,90.59,-1.59,-1.7552,2.2517,1398098,124418585.0,17912990840.0,5526170200.0
2019-12-17,'603605,賙應捇,90.59,92.25,89.7,91.86,91.7,-1.11,-1.2105,2.2178,1377089,124449444.0,18233009440.4,5624896162.0
2019-12-16,'603605,賙應捇,91.7,92.29,89.3,90.37,89.96,1.74,1.9342,1.9403,1204778,109710476.0,18456418652.0,5693818060.0
2019-12-13,'603605,賙應捇,89.96,90.79,87.87,88.8,88.29,1.67,1.8915,1.6626,1032314,92451252.0,18106209617.6,5585778328.0
2019-12-12,'603605,賙應捇,88.29,89.9,87.33,89.75,89.06,-0.77,-0.8646,1.8218,1131165,99938320.0,17770089452.4,5482085022.0
2019-12-11,'603605,賙應捇,89.06,91.91,88.55,91.42,91.42,-2.36,-2.5815,1.9289,1197687,107431219.0,17926513348.0,5529895708.0
2019-12-10,'603605,賙應捇,91.42,92.41,89.0,90.41,90.4,1.02,1.1283,1.2318,764835,69636378.0,18401547836.0,5676432356.0
2019-12-09,'603605,賙應捇,90.4,93.0,90.3,90.95,90.7,-0.3,-0.3308,1.2925,802523,73071774.0,18196236320.0,5613098720.0
2019-12-06,'603605,賙應捇,90.7,91.49,89.51,90.2,90.27,0.43,0.4763,1.2193,757100,68524316.0,18256622060.0,5631726260.0
2019-12-05,'603605,賙應捇,90.27,91.8,88.36,88.36,88.9,1.37,1.5411,1.7783,1104199,100098564.0,18170069166.0,5605026786.0
2019-12-04,'603605,賙應捇,88.9,89.94,85.31,85.51,86.25,2.65,3.0725,3.2969,2047079,181981852.0,17894307620.0,5519961020.0
2019-12-03,'603605,賙應捇,86.25,86.28,83.6,84.36,85.0,1.25,1.4706,1.659,1030120,87819065.0,17360900250.0,5355417750.0
2019-12-02,'603605,賙應捇,85.0,86.37,83.5,83.98,83.98,1.02,1.2146,1.8919,1174742,100413869.0,17109293000.0,5277803000.0
2019-11-29,'603605,賙應捇,83.98,85.69,82.7,85.26,85.26,-1.28,-1.5013,1.8681,1159937,97656014.0,16903981484.0,5214469364.0
2019-11-28,'603605,賙應捇,85.26,86.76,84.68,85.32,85.45,-0.19,-0.2224,1.6174,1004272,86197825.0,17161627308.0,5293946868.0
2019-11-27,'603605,賙應捇,85.45,86.76,82.01,83.68,83.17,2.28,2.7414,3.0557,1897366,161132247.0,17199871610.0,5305744310.0
2019-11-26,'603605,賙應捇,83.17,84.68,81.63,83.65,83.35,-0.18,-0.216,2.403,1492084,123953796.0,16740939986.0,5164175006.0
2019-11-25,'603605,賙應捇,83.35,86.95,82.33,86.95,86.93,-3.58,-4.1183,5.681,3527417,296358949.0,16777171430.0,5175351530.0
2019-11-22,'603605,賙應捇,86.93,93.5,84.17,92.23,92.3,-5.37,-5.818,6.9665,4325655,379537906.0,17497774594.0,5397640174.0
2019-11-21,'603605,賙應捇,92.3,93.9,90.49,93.9,94.0,-1.7,-1.8085,2.2724,1410979,129828285.0,18578679340.0,5731073140.0
