日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-12-27,'000607,华媒控股,4.85,5.09,4.8,4.95,4.94,-0.09,-1.8219,1.2308,10895383,54086025.62,4935837288.5,4293253009.1
2019-12-26,'000607,华媒控股,4.94,4.95,4.8,4.85,4.85,0.09,1.8557,0.7666,6786240,33202785.6,5027430145.4,4372921621.64
2019-12-25,'000607,华媒控股,4.85,4.9,4.77,4.83,4.79,0.06,1.2526,0.5669,5018291,24327038.53,4935837288.5,4293253009.1
2019-12-24,'000607,华媒控股,4.79,4.8,4.69,4.69,4.72,0.07,1.4831,0.4729,4186578,19940871.62,4874775383.9,4240140600.74
2019-12-23,'000607,华媒控股,4.72,4.88,4.69,4.78,4.87,-0.15,-3.0801,0.8888,7868106,37557071.36,4803536495.2,4178176124.32
2019-12-20,'000607,华媒控股,4.87,5.18,4.86,5.18,5.04,-0.17,-3.373,1.4116,12495970,62159019.2,4956191256.7,4310957145.22
2019-12-19,'000607,华媒控股,5.04,5.04,4.88,4.88,4.89,0.15,3.0675,1.3595,12034100,60023124.2,5129199986.4,4461442302.24
2019-12-18,'000607,华媒控股,4.89,4.92,4.83,4.86,4.85,0.04,0.8247,0.9866,8733856,42630401.25,4976545224.9,4328661281.34
2019-12-17,'000607,华媒控股,4.85,4.89,4.78,4.81,4.81,0.04,0.8316,0.9238,8177833,39714744.27,4935837288.5,4293253009.1
2019-12-16,'000607,华媒控股,4.81,4.83,4.76,4.8,4.77,0.04,0.8386,0.8747,7742566,37160322.5,4895129352.1,4257844736.86
2019-12-13,'000607,华媒控股,4.77,4.81,4.69,4.72,4.68,0.09,1.9231,0.859,7603551,36141539.74,4854421415.7,4222436464.62
2019-12-12,'000607,华媒控股,4.68,4.81,4.67,4.78,4.78,-0.1,-2.0921,0.9619,8514917,40062309.15,4762828558.8,4142767852.08
2019-12-11,'000607,华媒控股,4.78,5.0,4.64,4.66,4.67,0.11,2.3555,1.6448,14559773,70258801.48,4864598399.8,4231288532.68
2019-12-10,'000607,华媒控股,4.67,4.68,4.56,4.64,4.62,0.05,1.0823,0.6777,5999456,27799599.04,4752651574.7,4133915784.02
2019-12-09,'000607,华媒控股,4.62,4.69,4.6,4.62,4.62,0.0,0.0,0.6916,6122238,28411079.42,4701766654.2,4089655443.72
2019-12-06,'000607,华媒控股,4.62,4.62,4.53,4.53,4.55,0.07,1.5385,0.5567,4928367,22586521.65,4701766654.2,4089655443.72
2019-12-05,'000607,华媒控股,4.55,4.56,4.46,4.46,4.49,0.06,1.3363,0.5442,4817088,21841674.61,4630527765.5,4027690967.3
2019-12-04,'000607,华媒控股,4.49,4.51,4.44,4.48,4.48,0.01,0.2232,0.2775,2456126,10987721.96,4569465860.9,3974578558.94
2019-12-03,'000607,华媒控股,4.48,4.51,4.41,4.46,4.47,0.01,0.2237,0.6182,5472726,24362790.7,4559288876.8,3965726490.88
2019-12-02,'000607,华媒控股,4.47,4.54,4.46,4.53,4.5,-0.03,-0.6667,0.524,4638500,20860362.0,4549111892.7,3956874422.82
2019-11-29,'000607,华媒控股,4.5,4.56,4.5,4.55,4.56,-0.06,-1.3158,0.4606,4077500,18435761.0,4579642845.0,3983430627.0
2019-11-28,'000607,华媒控股,4.56,4.58,4.47,4.5,4.52,0.04,0.885,0.6,5311074,24022549.74,4640704749.6,4036543035.36
2019-11-27,'000607,华媒控股,4.52,4.61,4.51,4.58,4.62,-0.1,-2.1645,0.8976,7945937,36144190.28,4599996813.2,4001134763.12
2019-11-26,'000607,华媒控股,4.62,4.76,4.56,4.56,4.64,-0.02,-0.431,1.2803,11333067,52590859.78,4701766654.2,4089655443.72
2019-11-25,'000607,华媒控股,4.64,5.09,4.64,5.01,5.15,-0.51,-9.9029,3.4249,30317174,144653353.13,4722120622.4,4107359579.84
2019-11-22,'000607,华媒控股,5.15,5.2,5.02,5.06,5.1,0.05,0.9804,2.1886,19373978,98995807.46,5241146811.5,4558815050.9
2019-11-21,'000607,华媒控股,5.1,5.25,5.08,5.16,5.41,-0.31,-5.7301,2.9252,25893903,133321056.99,5190261891.0,4514554710.6
2019-11-20,'000607,华媒控股,5.41,5.56,5.35,5.43,5.38,0.03,0.5576,3.2027,28350939,154076220.47,5505748398.1,4788968820.46
2019-11-19,'000607,华媒控股,5.38,5.49,5.07,5.1,5.09,0.29,5.6974,3.454,30575306,162517891.81,5475217445.8,4762412616.28
2019-11-18,'000607,华媒控股,5.09,5.18,4.99,5.18,5.24,-0.15,-2.8626,2.1349,18898537,96231276.33,5180084906.9,4505702642.54
2019-11-15,'000607,华媒控股,5.24,5.47,5.2,5.42,5.48,-0.24,-4.3796,2.9347,25977885,138745604.0,5332739668.4,4638483663.44
2019-11-14,'000607,华媒控股,5.48,5.79,5.12,5.23,5.29,0.19,3.5917,4.4,38948912,211806029.36,5576987286.8,4850933296.88
2019-11-13,'000607,华媒控股,5.29,5.31,5.14,5.2,5.25,0.04,0.7619,2.6186,23180260,121447047.92,5383624588.9,4682744003.74
2019-11-12,'000607,华媒控股,5.25,5.25,5.05,5.22,5.18,0.07,1.3514,2.211,19572276,100699442.71,5342916652.5,4647335731.5
2019-11-11,'000607,华媒控股,5.18,5.32,4.88,4.96,5.04,0.14,2.7778,2.9474,26090836,134174181.42,5271677763.8,4585371255.08
2019-11-08,'000607,华媒控股,5.04,5.18,5.02,5.1,5.09,-0.05,-0.9823,1.4872,13164917,67018402.24,5129199986.4,4461442302.24
2019-11-07,'000607,华媒控股,5.09,5.14,4.9,4.95,4.95,0.14,2.8283,2.2435,19860011,100579904.15,5180084906.9,4505702642.54
2019-11-06,'000607,华媒控股,4.95,5.03,4.85,5.02,4.97,-0.02,-0.4024,1.3038,11541123,56664544.73,5037607129.5,4381773689.7
2019-11-05,'000607,华媒控股,4.97,5.03,4.93,5.0,5.03,-0.06,-1.1928,1.4172,12545500,62465301.7,5057961097.7,4399477825.82
2019-11-04,'000607,华媒控股,5.03,5.05,4.94,5.0,4.95,0.08,1.6162,2.1,18588975,92965057.35,5119023002.3,4452590234.18
2019-11-01,'000607,华媒控股,4.95,5.13,4.92,5.06,5.07,-0.12,-2.3669,3.0401,26911411,134430365.3,5037607129.5,4381773689.7
2019-10-31,'000607,华媒控股,5.07,5.45,4.99,5.33,5.49,-0.42,-7.6503,4.5236,40042868,208840085.27,5159730938.7,4487998506.42
2019-10-30,'000607,华媒控股,5.49,6.18,5.43,6.04,6.03,-0.54,-8.9552,7.4076,65572505,374115845.73,5587164270.9,4859785364.94
2019-10-29,'000607,华媒控股,6.03,6.46,5.95,6.46,5.87,0.16,2.7257,6.4721,57291596,365274969.3,6136721412.3,5337797040.18
2019-10-28,'000607,华媒控股,5.87,5.87,5.87,5.87,5.34,0.53,9.9251,0.6688,5920060,34750752.2,5973889666.7,5196163951.22
2019-10-25,'000607,华媒控股,5.34,5.37,5.21,5.3,5.32,0.02,0.3759,2.2802,20184857,107001082.48,5434509509.4,4727004344.04
2019-10-24,'000607,华媒控股,5.32,5.47,5.05,5.19,5.22,0.1,1.9157,3.1902,28239907,148112021.4,5414155541.2,4709300207.92
2019-10-23,'000607,华媒控股,5.22,5.35,5.19,5.28,5.36,-0.14,-2.6119,2.5391,22476523,118579428.12,5312385700.2,4620779527.32
2019-10-22,'000607,华媒控股,5.36,5.4,5.03,5.07,5.18,0.18,3.4749,3.9492,34958264,183931405.6,5454863477.6,4744708480.16
2019-10-21,'000607,华媒控股,5.18,5.2,4.85,5.01,5.11,0.07,1.3699,2.9964,26524077,132583101.51,5271677763.8,4585371255.08
2019-10-18,'000607,华媒控股,5.11,5.34,4.91,4.95,4.85,0.26,5.3608,2.9274,25913718,132414057.16,5200438875.1,4523406778.66
2019-10-17,'000607,华媒控股,4.85,5.28,4.85,4.92,4.91,-0.06,-1.222,1.8244,16149601,80582767.27,4935837288.5,4293253009.1
2019-10-16,'000607,华媒控股,4.91,5.16,4.9,5.1,5.08,-0.17,-3.3465,1.1679,10338562,51445631.5,4996899193.1,4346365417.46
