日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-12-27,'603011,合锻智能,5.03,5.15,5.02,5.15,5.11,-0.08,-1.5656,1.0668,4789500,24314507.0,2278966213.82,2258214445.82
2019-12-26,'603011,合锻智能,5.11,5.11,5.01,5.05,5.03,0.08,1.5905,0.8333,3741100,18925229.0,2315212197.34,2294130381.34
2019-12-25,'603011,合锻智能,5.03,5.11,5.01,5.07,5.07,-0.04,-0.789,0.9081,4076950,20640103.0,2278966213.82,2258214445.82
2019-12-24,'603011,合锻智能,5.07,5.08,4.97,4.97,4.98,0.09,1.8072,1.0441,4687290,23647226.0,2297089205.58,2276172413.58
2019-12-23,'603011,合锻智能,4.98,5.23,4.97,5.21,5.21,-0.23,-4.4146,1.7824,8002200,40546825.0,2256312474.12,2235766986.12
2019-12-20,'603011,合锻智能,5.21,5.47,5.1,5.15,5.15,0.06,1.165,2.7324,12267070,64351095.0,2360519676.74,2339025300.74
2019-12-19,'603011,合锻智能,5.15,5.17,5.08,5.17,5.19,-0.04,-0.7707,1.6206,7275800,37281716.0,2333335189.1,2312088349.1
2019-12-18,'603011,合锻智能,5.19,5.21,5.04,5.09,5.07,0.12,2.3669,2.1509,9656370,49341653.0,2351458180.86,2330046316.86
2019-12-17,'603011,合锻智能,5.07,5.11,4.98,5.01,5.01,0.06,1.1976,1.5909,7142400,36115964.0,2297089205.58,2276172413.58
2019-12-16,'603011,合锻智能,5.01,5.03,4.95,4.97,4.96,0.05,1.0081,1.2151,5455278,27263504.0,2269904717.94,2249235461.94
2019-12-13,'603011,合锻智能,4.96,4.98,4.89,4.89,4.87,0.09,1.848,1.185,5320000,26283801.0,2247250978.24,2226788002.24
2019-12-12,'603011,合锻智能,4.87,4.91,4.84,4.89,4.89,-0.02,-0.409,0.6214,2789600,13604100.0,2206474246.78,2186382574.78
2019-12-11,'603011,合锻智能,4.89,4.91,4.84,4.88,4.89,0.0,0.0,0.8093,3633300,17715994.0,2215535742.66,2195361558.66
2019-12-10,'603011,合锻智能,4.89,4.93,4.84,4.93,4.93,-0.04,-0.8114,0.9459,4246400,20701781.0,2215535742.66,2195361558.66
2019-12-09,'603011,合锻智能,4.93,4.99,4.88,4.91,4.91,0.02,0.4073,0.9617,4317378,21278351.0,2233658734.42,2213319526.42
2019-12-06,'603011,合锻智能,4.91,4.94,4.86,4.87,4.86,0.05,1.0288,0.8301,3726578,18242271.0,2224597238.54,2204340542.54
2019-12-05,'603011,合锻智能,4.86,4.88,4.82,4.83,4.82,0.04,0.8299,0.5324,2390400,11600681.0,2201943498.84,2181893082.84
2019-12-04,'603011,合锻智能,4.82,4.87,4.81,4.83,4.86,-0.04,-0.823,0.4182,1877700,9080972.0,2183820507.08,2163935115.08
2019-12-03,'603011,合锻智能,4.86,4.86,4.76,4.76,4.8,0.06,1.25,0.4574,2053459,9871191.0,2201943498.84,2181893082.84
2019-12-02,'603011,合锻智能,4.8,4.82,4.77,4.81,4.8,0.0,0.0,0.3801,1706300,8185924.0,2174759011.2,2154956131.2
2019-11-29,'603011,合锻智能,4.8,4.88,4.78,4.88,4.85,-0.05,-1.0309,0.4529,2033261,9789325.0,2174759011.2,2154956131.2
2019-11-28,'603011,合锻智能,4.85,4.87,4.81,4.82,4.84,0.01,0.2066,0.4201,1886159,9124589.0,2197412750.9,2177403590.9
2019-11-27,'603011,合锻智能,4.84,4.86,4.77,4.86,4.82,0.02,0.4149,0.4563,2048400,9875809.0,2192882002.96,2172914098.96
2019-11-26,'603011,合锻智能,4.82,4.9,4.82,4.9,4.86,-0.04,-0.823,0.4663,2093400,10154708.0,2183820507.08,2163935115.08
2019-11-25,'603011,合锻智能,4.86,4.86,4.74,4.84,4.81,0.05,1.0395,0.7265,3261560,15730808.0,2201943498.84,2181893082.84
2019-11-22,'603011,合锻智能,4.81,5.03,4.77,4.97,4.98,-0.17,-3.4137,1.5416,6921060,33703597.0,2179289759.14,2159445623.14
2019-11-21,'603011,合锻智能,4.98,5.03,4.91,4.95,4.93,0.05,1.0142,0.7183,3224900,16077138.0,2256312474.12,2235766986.12
2019-11-20,'603011,合锻智能,4.93,5.0,4.92,5.0,5.04,-0.11,-2.1825,0.7378,3312500,16421322.0,2233658734.42,2213319526.42
2019-11-19,'603011,合锻智能,5.04,5.04,4.95,4.99,4.98,0.06,1.2048,1.2344,5542053,27663848.0,2283496961.76,2262703937.76
2019-11-18,'603011,合锻智能,4.98,5.14,4.85,4.86,4.86,0.12,2.4691,1.6738,7514690,37495838.0,2256312474.12,2235766986.12
2019-11-15,'603011,合锻智能,4.86,4.88,4.76,4.83,4.82,0.04,0.8299,0.4615,2071800,10046958.0,2201943498.84,2181893082.84
2019-11-14,'603011,合锻智能,4.82,4.9,4.79,4.9,4.87,-0.05,-1.0267,0.5067,2274737,10997416.0,2183820507.08,2163935115.08
2019-11-13,'603011,合锻智能,4.87,4.87,4.75,4.81,4.81,0.06,1.2474,0.5799,2603555,12497814.0,2206474246.78,2186382574.78
2019-11-12,'603011,合锻智能,4.81,4.83,4.71,4.78,4.83,-0.02,-0.4141,0.6605,2965120,14144290.0,2179289759.14,2159445623.14
2019-11-11,'603011,合锻智能,4.83,4.98,4.76,4.94,4.93,-0.1,-2.0284,0.9156,4110357,19901865.0,2188351255.02,2168424607.02
2019-11-08,'603011,合锻智能,4.93,5.07,4.91,5.06,5.02,-0.09,-1.7928,0.8718,3913912,19467911.0,2233658734.42,2213319526.42
2019-11-07,'603011,合锻智能,5.02,5.02,4.93,4.99,4.93,0.09,1.8256,0.9675,4343678,21600669.0,2274435465.88,2253724953.88
2019-11-06,'603011,合锻智能,4.93,5.0,4.89,4.9,4.91,0.02,0.4073,0.8814,3957200,19552273.0,2233658734.42,2213319526.42
2019-11-05,'603011,合锻智能,4.91,4.95,4.84,4.93,4.93,-0.02,-0.4057,0.7177,3222200,15763145.0,2224597238.54,2204340542.54
2019-11-04,'603011,合锻智能,4.93,5.03,4.92,4.97,4.96,-0.03,-0.6048,0.6421,2882600,14332012.0,2233658734.42,2213319526.42
2019-11-01,'603011,合锻智能,4.96,4.98,4.87,4.92,4.92,0.04,0.813,0.7483,3359537,16563619.0,2247250978.24,2226788002.24
2019-10-31,'603011,合锻智能,4.92,5.02,4.9,4.96,4.96,-0.04,-0.8065,0.8447,3792300,18851348.0,2229127986.48,2208830034.48
2019-10-30,'603011,合锻智能,4.96,5.16,4.9,5.1,5.12,-0.16,-3.125,1.2887,5785561,29030120.0,2247250978.24,2226788002.24
2019-10-29,'603011,合锻智能,5.12,5.28,5.1,5.28,5.3,-0.18,-3.3962,1.2477,5601359,29025779.0,2319742945.28,2298619873.28
2019-10-28,'603011,合锻智能,5.3,5.3,5.17,5.18,5.2,0.1,1.9231,1.1921,5352049,28106365.0,2401296408.2,2379430728.2
2019-10-25,'603011,合锻智能,5.2,5.25,5.14,5.23,5.24,-0.04,-0.7634,0.825,3704000,19215895.0,2355988928.8,2334535808.8
2019-10-24,'603011,合锻智能,5.24,5.27,5.13,5.13,5.14,0.1,1.9455,1.0907,4896600,25588278.0,2374111920.56,2352493776.56
2019-10-23,'603011,合锻智能,5.14,5.3,5.12,5.3,5.28,-0.14,-2.6515,1.0601,4759500,24692460.0,2328804441.16,2307598857.16
2019-10-22,'603011,合锻智能,5.28,5.28,5.2,5.2,5.22,0.06,1.1494,0.9035,4056200,21245871.0,2392234912.32,2370451744.32
2019-10-21,'603011,合锻智能,5.22,5.22,5.0,5.18,5.16,0.06,1.1628,1.1354,5097459,26071616.0,2365050424.68,2343514792.68
2019-10-18,'603011,合锻智能,5.16,5.31,5.16,5.28,5.27,-0.11,-2.0873,1.1001,4938700,25770881.0,2337865937.04,2316577841.04
2019-10-17,'603011,合锻智能,5.27,5.36,5.22,5.33,5.33,-0.06,-1.1257,1.099,4934100,26087790.0,2387704164.38,2365962252.38
