�梪�,嘖き測鎢,靡備,彶攫歎,郔詢歎,郔腴歎,羲攫歎,ヶ彶攫,梀視塗,梀視盟,遙忒薹,傖蝠講,傖蝠踢塗,軞庈硉,霜籵庈硉
2019-12-27,'601865,腦應杻,12.03,12.92,11.73,11.97,11.9,0.13,1.0924,22.6067,33909989,415317155.0,23458500000.0,1804500000.0
2019-12-26,'601865,腦應杻,11.9,12.12,11.55,12.12,11.66,0.24,2.0583,21.6372,32455871,383876026.0,23205000000.0,1785000000.0
2019-12-25,'601865,腦應杻,11.66,11.66,10.66,10.66,10.6,1.06,10.0,15.7688,23653210,270789039.0,22737000000.0,1749000000.0
2019-12-24,'601865,腦應杻,10.6,10.77,10.47,10.52,10.52,0.08,0.7605,6.9625,10443794,111039051.0,20670000000.0,1590000000.0
2019-12-23,'601865,XD腦應杻,10.52,11.23,10.46,11.15,11.62,-1.1,-9.4664,13.3546,20031831,215313176.0,20514000000.0,1578000000.0
2019-12-20,'601865,腦應杻,11.65,12.23,11.36,11.39,11.26,0.39,3.4636,21.9477,32921521,389195827.0,22717500000.0,1747500000.0
2019-12-19,'601865,腦應杻,11.26,11.28,10.97,11.12,11.17,0.09,0.8057,9.6366,14454973,160667804.0,21957000000.0,1689000000.0
2019-12-18,'601865,腦應杻,11.17,11.25,10.79,10.9,10.95,0.22,2.0091,13.4161,20124174,222706472.0,21781500000.0,1675500000.0
2019-12-17,'601865,腦應杻,10.95,11.14,10.83,11.0,10.96,-0.01,-0.0912,11.2074,16811067,183980773.0,21352500000.0,1642500000.0
2019-12-16,'601865,腦應杻,10.96,11.1,10.52,10.65,10.59,0.37,3.4939,12.4304,18645534,203325513.0,21372000000.0,1644000000.0
2019-12-13,'601865,腦應杻,10.59,10.69,10.46,10.65,10.46,0.13,1.2428,8.317,12475513,132039942.0,20650500000.0,1588500000.0
2019-12-12,'601865,腦應杻,10.46,10.8,10.4,10.8,10.91,-0.45,-4.1247,11.3384,17007655,179353654.0,20397000000.0,1569000000.0
2019-12-11,'601865,腦應杻,10.91,11.14,10.64,10.76,10.78,0.13,1.2059,13.6108,20416226,222352829.0,21274500000.0,1636500000.0
2019-12-10,'601865,腦應杻,10.78,10.95,10.53,10.95,11.05,-0.27,-2.4434,12.95,19425018,207867775.0,21021000000.0,1617000000.0
2019-12-09,'601865,腦應杻,11.05,11.29,10.87,10.95,11.05,0.0,0.0,14.7814,22172167,245025022.0,21547500000.0,1657500000.0
