ÈÕÆÚ,¹ÉÆ±´úÂë,Ãû³Æ,ÊÕÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,¿ªÅÌ¼Û,Ç°ÊÕÅÌ,ÕÇµø¶î,ÕÇµø·ù,»»ÊÖÂÊ,³É½»Á¿,³É½»½ð¶î,×ÜÊÐÖµ,Á÷Í¨ÊÐÖµ
2019-12-27,'600760,ÖÐº½Éò·É,31.18,31.57,31.15,31.35,31.45,-0.27,-0.8585,1.3887,5534188,173738382.0,43664137906.3,12425918922.1
2019-12-26,'600760,ÖÐº½Éò·É,31.45,31.45,30.99,31.39,31.35,0.1,0.319,1.5045,5995607,186888425.0,44042243013.2,12533519887.8
2019-12-25,'600760,ÖÐº½Éò·É,31.35,31.83,31.15,31.75,31.72,-0.37,-1.1665,1.7246,6872733,215987157.0,43902204084.8,12493667678.2
2019-12-24,'600760,ÖÐº½Éò·É,31.72,31.95,30.91,31.08,30.91,0.81,2.6205,2.4768,9870620,312653500.0,44420348120.2,12641120853.4
2019-12-23,'600760,ÖÐº½Éò·É,30.91,31.56,30.87,31.17,31.05,-0.14,-0.4509,2.1092,8405805,262222068.0,43286032799.3,12318317956.5
2019-12-20,'600760,ÖÐº½Éò·É,31.05,31.66,30.88,31.45,31.31,-0.26,-0.8304,1.9716,7857229,245135872.0,43482087299.2,12374111049.8
2019-12-19,'600760,ÖÐº½Éò·É,31.31,32.13,31.28,31.74,31.58,-0.27,-0.855,2.9879,11907309,375663853.0,43846188513.3,12477726794.5
2019-12-18,'600760,ÖÐº½Éò·É,31.58,32.7,31.52,32.5,32.25,-0.67,-2.0775,3.2831,13083970,417673463.0,44224293620.3,12585327760.1
2019-12-17,'600760,ÖÐº½Éò·É,32.25,33.15,31.81,31.92,31.93,0.32,1.0022,4.9843,19863541,645469680.0,45162554441.2,12852337563.8
2019-12-16,'600760,ÖÐº½Éò·É,31.93,31.96,30.03,30.03,30.03,1.9,6.327,4.8086,19163357,600475691.0,44714429870.1,12724810493.4
2019-12-13,'600760,ÖÐº½Éò·É,30.03,30.42,29.74,30.14,30.1,-0.07,-0.2326,2.2503,8967834,268473622.0,42053690228.6,11967618512.9
2019-12-12,'600760,ÖÐº½Éò·É,30.1,30.58,29.91,30.42,30.49,-0.39,-1.2791,1.6333,6509006,196712872.0,42151717478.5,11995515059.5
2019-12-11,'600760,ÖÐº½Éò·É,30.49,30.65,29.87,30.01,29.9,0.59,1.9732,2.4529,9775474,297224058.0,42697869299.7,12150938676.5
2019-12-10,'600760,ÖÐº½Éò·É,29.9,30.18,29.75,30.03,30.03,-0.13,-0.4329,1.5361,6121853,183489998.0,41871639621.5,11915810640.5
2019-12-09,'600760,ÖÐº½Éò·É,30.03,30.13,29.72,30.0,30.0,0.03,0.1,1.9556,7793485,233399645.0,42053690228.6,11967618512.9
2019-12-06,'600760,ÖÐº½Éò·É,30.0,30.4,29.85,30.3,30.3,-0.3,-0.9901,2.0654,8230982,247276443.0,42011678550.0,11955662850.0
2019-12-05,'600760,ÖÐº½Éò·É,30.3,30.7,29.53,29.59,29.64,0.66,2.2267,4.027,16048366,484373454.0,42431795335.5,12075219478.5
2019-12-04,'600760,ÖÐº½Éò·É,29.64,29.7,28.94,29.01,29.25,0.39,1.3333,2.6953,10741290,315934127.0,41507538407.4,11812194895.8
2019-12-03,'600760,ÖÐº½Éò·É,29.25,29.26,28.07,28.29,28.28,0.97,3.43,3.3607,13393312,387652595.0,40961386586.2,11656771278.8
2019-12-02,'600760,ÖÐº½Éò·É,28.28,28.42,28.01,28.15,28.11,0.17,0.6048,1.007,4012971,113234934.0,39603008979.8,11270204846.6
2019-11-29,'600760,ÖÐº½Éò·É,28.11,28.16,27.86,27.97,27.97,0.14,0.5005,0.9661,3850112,107967400.0,39364942801.3,11202456090.5
2019-11-28,'600760,ÖÐº½Éò·É,27.97,28.15,27.85,28.04,28.04,-0.07,-0.2496,0.8127,3238634,90448730.0,39168888301.4,11146662997.1
2019-11-27,'600760,ÖÐº½Éò·É,28.04,28.22,27.92,28.22,28.4,-0.36,-1.2676,0.8597,3426024,96064272.0,39266915551.4,11174559543.8
2019-11-26,'600760,ÖÐº½Éò·É,28.4,28.4,27.83,27.87,27.95,0.45,1.61,1.4956,5960359,167967638.0,39771055694.0,11318027498.0
2019-11-25,'600760,ÖÐº½Éò·É,27.95,28.25,27.78,28.2,28.31,-0.36,-1.2716,1.6693,6652367,185712482.0,39140880515.8,11138692555.2
2019-11-22,'600760,ÖÐº½Éò·É,28.31,28.73,28.16,28.45,28.65,-0.34,-1.1867,1.695,6754965,192225024.0,39645020658.3,11282160509.5
2019-11-21,'600760,ÖÐº½Éò·É,28.65,28.8,27.85,27.99,28.03,0.62,2.2119,2.164,8624144,245407363.0,40121153015.2,11417658021.8
2019-11-20,'600760,ÖÐº½Éò·É,28.03,28.5,27.96,28.5,28.55,-0.52,-1.8214,1.4618,5825775,164302392.0,39252911658.6,11170574322.9
2019-11-19,'600760,ÖÐº½Éò·É,28.55,28.58,28.11,28.22,28.22,0.33,1.1694,1.356,5403968,153339764.0,39981114086.8,11377805812.2
2019-11-18,'600760,ÖÐº½Éò·É,28.22,28.28,27.7,27.9,27.9,0.32,1.147,1.2091,4818622,135164740.0,39518985622.7,11246293520.9
2019-11-15,'600760,ÖÐº½Éò·É,27.9,28.21,27.58,27.85,27.94,-0.04,-0.1432,1.2875,5130904,143121105.0,39070861051.5,11118766450.5
2019-11-14,'600760,ÖÐº½Éò·É,27.94,28.11,27.8,27.82,27.84,0.1,0.3592,1.0898,4342900,121337728.0,39126876622.9,11134707334.3
2019-11-13,'600760,ÖÐº½Éò·É,27.84,28.06,27.76,28.06,28.03,-0.19,-0.6778,1.0437,4159535,115902690.0,38986837694.4,11094855124.8
2019-11-12,'600760,ÖÐº½Éò·É,28.03,28.11,27.51,28.05,28.0,0.03,0.1071,1.5876,6326902,176087900.0,39252911658.6,11170574322.9
2019-11-11,'600760,ÖÐº½Éò·É,28.0,28.8,27.96,28.65,28.98,-0.98,-3.3816,3.1268,12460971,352426829.0,39210899980.0,11158618660.0
2019-11-08,'600760,ÖÐº½Éò·É,28.98,29.35,28.98,29.28,29.19,-0.21,-0.7194,2.3696,9443360,274871769.0,40583281479.3,11549170313.1
2019-11-07,'600760,ÖÐº½Éò·É,29.19,29.92,29.16,29.92,30.13,-0.94,-3.1198,3.5234,14041368,411634738.0,40877363229.2,11632859953.0
2019-11-06,'600760,ÖÐº½Éò·É,30.13,30.76,29.7,29.7,29.08,1.05,3.6107,6.4105,25547173,771927858.0,42193729157.1,12007470722.4
2019-11-05,'600760,ÖÐº½Éò·É,29.08,29.36,28.99,29.26,29.24,-0.16,-0.5472,1.7137,6829412,199034226.0,40723320407.8,11589022522.6
2019-11-04,'600760,ÖÐº½Éò·É,29.24,29.56,28.8,29.31,29.35,-0.11,-0.3748,2.0776,8279615,241900561.0,40947382693.4,11652786057.8
2019-11-01,'600760,ÖÐº½Éò·É,29.35,29.63,29.21,29.21,29.41,-0.06,-0.204,1.4608,5821793,171382541.0,41101425514.8,11696623488.2
2019-10-31,'600760,ÖÐº½Éò·É,29.41,29.69,29.0,29.38,29.15,0.26,0.8919,1.5962,6361108,186400057.0,41185448871.8,11720534814.0
2019-10-30,'600760,ÖÐº½Éò·É,29.15,29.7,28.89,29.7,29.67,-0.52,-1.7526,2.2546,8985190,262431068.0,40821347657.8,11616919069.2
2019-10-29,'600760,ÖÐº½Éò·É,29.67,29.97,29.47,29.89,29.93,-0.26,-0.8687,1.6942,6751869,200660585.0,41549550085.9,11824150558.6
2019-10-28,'600760,ÖÐº½Éò·É,29.93,30.01,29.31,29.57,29.82,0.11,0.3689,2.773,11051088,328368167.0,41913651300.1,11927766303.4
2019-10-25,'600760,ÖÐº½Éò·É,29.82,30.08,28.95,29.1,29.08,0.74,2.5447,3.4591,13785339,409068768.0,41759608478.7,11883928872.9
2019-10-24,'600760,ÖÐº½Éò·É,29.08,29.24,28.5,29.13,28.98,0.1,0.3451,1.6029,6387913,185031644.0,40723320407.8,11589022522.6
2019-10-23,'600760,ÖÐº½Éò·É,28.98,29.6,28.93,29.6,29.42,-0.44,-1.4956,1.6635,6629609,193122871.0,40583281479.3,11549170313.1
2019-10-22,'600760,ÖÐº½Éò·É,29.42,29.51,28.96,29.14,29.2,0.22,0.7534,1.7225,6864416,200357198.0,41199452764.7,11724520034.9
2019-10-21,'600760,ÖÐº½Éò·É,29.2,29.28,28.49,28.95,28.94,0.26,0.8984,1.6337,6510589,188172816.0,40891367122.0,11636845174.0
2019-10-18,'600760,ÖÐº½Éò·É,28.94,29.78,28.85,29.49,29.44,-0.5,-1.6984,2.2281,8879509,259964747.0,40527265907.9,11533229429.3
2019-10-17,'600760,ÖÐº½Éò·É,29.44,30.09,29.3,29.99,29.91,-0.47,-1.5714,2.1212,8453500,250571085.0,41227460550.4,11732490476.8
2019-10-16,'600760,ÖÐº½Éò·É,29.91,30.27,29.61,29.91,29.82,0.09,0.3018,1.806,7197175,215474233.0,41885643514.3,11919795861.5
2019-10-15,'600760,ÖÐº½Éò·É,29.82,30.7,29.72,30.7,30.75,-0.93,-3.0244,3.1968,12739937,382683660.0,41759608478.7,11883928872.9
2019-10-14,'600760,ÖÐº½Éò·É,30.75,31.03,30.12,30.12,29.96,0.79,2.6368,4.2722,17025687,521037015.0,43061970513.8,12254554421.2
2019-10-11,'600760,ÖÐº½Éò·É,29.96,30.38,29.67,30.19,30.14,-0.18,-0.5972,2.6211,10445637,313581065.0,41955662978.6,11939721966.2
2019-10-10,'600760,ÖÐº½Éò·É,30.14,30.3,29.9,30.18,30.12,0.02,0.0664,2.353,9377183,282168396.0,42207733049.9,12011455943.3
2019-10-09,'600760,ÖÐº½Éò·É,30.12,30.15,29.67,29.93,29.92,0.2,0.6684,2.5671,10230549,306264874.0,42179725264.2,12003485501.4
2019-10-08,'600760,ÖÐº½Éò·É,29.92,31.18,29.88,31.0,31.0,-1.08,-3.4839,3.2838,13086835,396876379.0,41899647407.2,11923781082.4
2019-09-30,'600760,ÖÐº½Éò·É,31.0,31.94,31.0,31.55,31.55,-0.55,-1.7433,2.7211,10844033,340344733.0,43412067835.0,12354184945.0
2019-09-27,'600760,ÖÐº½Éò·É,31.55,31.94,31.32,31.65,31.51,0.04,0.1269,2.8634,11411466,360083944.0,44182281941.8,12573372097.2
