日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-12-27,'300785,值得买,142.0,150.0,136.1,137.0,136.98,5.02,3.6648,23.0903,3078705,437088027.43,7573333428.0,1893333428.0
2019-12-26,'300785,值得买,136.98,139.85,126.99,128.0,127.14,9.84,7.7395,30.7298,4097311,551516350.66,7305600091.32,1826400091.32
2019-12-25,'300785,值得买,127.14,127.14,114.58,114.58,115.58,11.56,10.0017,19.3775,2583673,316267570.06,6780800084.76,1695200084.76
2019-12-24,'300785,值得买,115.58,116.95,109.3,110.19,109.98,5.6,5.0918,9.2932,1239100,139968159.0,6164266743.72,1541066743.72
2019-12-23,'300785,值得买,109.98,114.38,109.98,114.38,114.9,-4.92,-4.282,8.4683,1129101,125692546.68,5865600073.32,1466400073.32
2019-12-20,'300785,值得买,114.9,117.36,113.1,113.5,113.9,1.0,0.878,9.69,1292001,149852315.1,6128000076.6,1532000076.6
2019-12-19,'300785,值得买,113.9,114.45,112.5,113.31,113.04,0.86,0.7608,7.3656,982085,111526868.02,6074666742.6,1518666742.6
2019-12-18,'300785,值得买,113.04,114.45,110.0,113.0,113.28,-0.24,-0.2119,11.1557,1487423,167731624.71,6028800075.36,1507200075.36
2019-12-17,'300785,值得买,113.28,116.4,107.2,108.01,107.85,5.43,5.0348,16.5234,2203124,244609330.92,6041600075.52,1510400075.52
2019-12-16,'300785,值得买,107.85,107.85,103.66,105.01,104.45,3.4,3.2551,11.5289,1537184,162399401.64,5752000071.9,1438000071.9
2019-12-13,'300785,值得买,104.45,107.99,104.21,106.9,105.95,-1.5,-1.4158,9.1582,1221100,128439718.0,5570666736.3,1392666736.3
2019-12-12,'300785,值得买,105.95,107.8,105.02,105.43,105.01,0.94,0.8952,6.5753,876702,93445430.4,5650666737.3,1412666737.3
2019-12-11,'300785,值得买,105.01,107.95,104.34,107.94,107.97,-2.96,-2.7415,7.3012,973492,102888009.54,5600533403.34,1400133403.34
2019-12-10,'300785,值得买,107.97,109.99,107.26,108.63,108.62,-0.65,-0.5984,7.3561,980811,106077978.8,5758400071.98,1439600071.98
2019-12-09,'300785,值得买,108.62,109.9,107.7,109.9,107.68,0.94,0.873,5.9048,787313,85436715.0,5793066739.08,1448266739.08
2019-12-06,'300785,值得买,107.68,111.0,106.77,108.92,109.07,-1.39,-1.2744,6.9375,925000,99795248.0,5742933405.12,1435733405.12
2019-12-05,'300785,值得买,109.07,110.0,105.81,106.88,106.2,2.87,2.7024,9.4672,1262300,136179227.0,5817066739.38,1454266739.38
2019-12-04,'300785,值得买,106.2,107.46,103.07,104.14,104.18,2.02,1.939,7.7938,1039175,110036440.98,5664000070.8,1416000070.8
