ÈÕÆÚ,¹ÉÆ±´úÂë,Ãû³Æ,ÊÕÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,¿ªÅÌ¼Û,Ç°ÊÕÅÌ,ÕÇµø¶î,ÕÇµø·ù,»»ÊÖÂÊ,³É½»Á¿,³É½»½ð¶î,×ÜÊÐÖµ,Á÷Í¨ÊÐÖµ
2019-12-27,'600624,¸´µ©¸´»ª,9.18,9.72,9.17,9.4,9.5,-0.32,-3.3684,7.1711,49101419,465578591.0,6285656251.8,6285656251.8
2019-12-26,'600624,¸´µ©¸´»ª,9.5,9.88,8.85,8.9,9.07,0.43,4.7409,9.8695,67577850,636662855.0,6504764095.0,6504764095.0
2019-12-25,'600624,¸´µ©¸´»ª,9.07,9.31,8.84,8.97,8.97,0.1,1.1148,10.9615,75054849,684357370.0,6210337930.7,6210337930.7
2019-12-24,'600624,¸´µ©¸´»ª,8.97,8.97,8.61,8.97,8.15,0.82,10.0613,7.7477,53049099,470514314.0,6141866729.7,6141866729.7
2019-12-23,'600624,¸´µ©¸´»ª,8.15,8.43,8.15,8.41,8.46,-0.31,-3.6643,1.897,12989140,107497232.0,5580402881.5,5580402881.5
2019-12-20,'600624,¸´µ©¸´»ª,8.46,8.64,8.46,8.56,8.55,-0.09,-1.0526,2.2114,15141658,129338417.0,5792663604.6,5792663604.6
2019-12-19,'600624,¸´µ©¸´»ª,8.55,8.62,8.42,8.5,8.48,0.07,0.8255,2.2997,15746149,133982507.0,5854287685.5,5854287685.5
2019-12-18,'600624,¸´µ©¸´»ª,8.48,8.68,8.47,8.64,8.6,-0.12,-1.3953,2.772,18980281,162527231.0,5806357844.8,5806357844.8
2019-12-17,'600624,¸´µ©¸´»ª,8.6,8.83,8.44,8.47,8.46,0.14,1.6548,3.2775,22441494,194102717.0,5888523286.0,5888523286.0
2019-12-16,'600624,¸´µ©¸´»ª,8.46,8.46,8.28,8.32,8.28,0.18,2.1739,2.1526,14739034,123986974.0,5792663604.6,5792663604.6
2019-12-13,'600624,¸´µ©¸´»ª,8.28,8.29,8.18,8.21,8.14,0.14,1.7199,1.5259,10447863,86256314.0,5669415442.8,5669415442.8
2019-12-12,'600624,¸´µ©¸´»ª,8.14,8.27,8.14,8.25,8.25,-0.11,-1.3333,1.0347,7084841,58091326.0,5573555761.4,5573555761.4
2019-12-11,'600624,¸´µ©¸´»ª,8.25,8.38,8.24,8.31,8.33,-0.08,-0.9604,1.165,7976599,66140432.0,5648874082.5,5648874082.5
2019-12-10,'600624,¸´µ©¸´»ª,8.33,8.44,8.16,8.22,8.22,0.11,1.3382,1.7955,12293860,102052286.0,5703651043.3,5703651043.3
2019-12-09,'600624,¸´µ©¸´»ª,8.22,8.26,8.17,8.2,8.17,0.05,0.612,0.9959,6819347,55944710.0,5628332722.2,5628332722.2
2019-12-06,'600624,¸´µ©¸´»ª,8.17,8.22,8.13,8.18,8.18,-0.01,-0.1222,0.8452,5787332,47255664.0,5594097121.7,5594097121.7
2019-12-05,'600624,¸´µ©¸´»ª,8.18,8.19,8.1,8.1,8.08,0.1,1.2376,1.1429,7825502,63857606.0,5600944241.8,5600944241.8
2019-12-04,'600624,¸´µ©¸´»ª,8.08,8.14,8.0,8.02,8.16,-0.08,-0.9804,0.9063,6205317,50144812.0,5532473040.8,5532473040.8
2019-12-03,'600624,¸´µ©¸´»ª,8.16,8.35,7.9,8.0,8.0,0.16,2.0,1.6433,11251957,91374083.0,5587250001.6,5587250001.6
2019-12-02,'600624,¸´µ©¸´»ª,8.0,8.08,7.93,7.94,7.93,0.07,0.8827,0.733,5018658,40185141.0,5477696080.0,5477696080.0
2019-11-29,'600624,¸´µ©¸´»ª,7.93,8.04,7.9,8.04,8.03,-0.1,-1.2453,0.9995,6843456,54333921.0,5429766239.3,5429766239.3
2019-11-28,'600624,¸´µ©¸´»ª,8.03,8.14,8.0,8.11,8.1,-0.07,-0.8642,0.8362,5725770,46165744.0,5498237440.3,5498237440.3
2019-11-27,'600624,¸´µ©¸´»ª,8.1,8.14,8.08,8.09,8.09,0.01,0.1236,0.6098,4175276,33840883.0,5546167281.0,5546167281.0
2019-11-26,'600624,¸´µ©¸´»ª,8.09,8.17,8.07,8.13,8.12,-0.03,-0.3695,0.7028,4812334,39031358.0,5539320160.9,5539320160.9
2019-11-25,'600624,¸´µ©¸´»ª,8.12,8.22,8.08,8.18,8.16,-0.04,-0.4902,0.7645,5234488,42583641.0,5559861521.2,5559861521.2
2019-11-22,'600624,¸´µ©¸´»ª,8.16,8.3,8.15,8.23,8.21,-0.05,-0.609,0.9948,6811600,55927538.0,5587250001.6,5587250001.6
2019-11-21,'600624,¸´µ©¸´»ª,8.21,8.33,8.16,8.2,8.27,-0.06,-0.7255,0.7961,5450737,44789870.0,5621485602.1,5621485602.1
2019-11-20,'600624,¸´µ©¸´»ª,8.27,8.43,8.26,8.4,8.36,-0.09,-1.0766,1.0383,7109578,59180859.0,5662568322.7,5662568322.7
2019-11-19,'600624,¸´µ©¸´»ª,8.36,8.37,8.21,8.23,8.21,0.15,1.827,1.1221,7683454,63962767.0,5724192403.6,5724192403.6
2019-11-18,'600624,¸´µ©¸´»ª,8.21,8.26,8.11,8.12,8.12,0.09,1.1084,0.9069,6209881,50973737.0,5621485602.1,5621485602.1
2019-11-15,'600624,¸´µ©¸´»ª,8.12,8.39,8.11,8.37,8.37,-0.25,-2.9869,1.4024,9602630,78927537.0,5559861521.2,5559861521.2
2019-11-14,'600624,¸´µ©¸´»ª,8.37,8.45,8.34,8.45,8.38,-0.01,-0.1193,0.8798,6024181,50533105.0,5731039523.7,5731039523.7
2019-11-13,'600624,¸´µ©¸´»ª,8.38,8.47,8.36,8.42,8.42,-0.04,-0.4751,0.8461,5793070,48693817.0,5737886643.8,5737886643.8
2019-11-12,'600624,¸´µ©¸´»ª,8.42,8.46,8.25,8.4,8.39,0.03,0.3576,1.1245,7699826,64471065.0,5765275124.2,5765275124.2
2019-11-11,'600624,¸´µ©¸´»ª,8.39,8.66,8.38,8.65,8.68,-0.29,-3.341,1.5484,10601816,89700442.0,5744733763.9,5744733763.9
2019-11-08,'600624,¸´µ©¸´»ª,8.68,8.74,8.6,8.69,8.66,0.02,0.2309,1.5961,10928534,94737508.0,5943300246.8,5943300246.8
2019-11-07,'600624,¸´µ©¸´»ª,8.66,8.73,8.61,8.68,8.65,0.01,0.1156,1.3113,8978604,77924163.0,5929606006.6,5929606006.6
2019-11-06,'600624,¸´µ©¸´»ª,8.65,9.04,8.56,9.0,8.98,-0.33,-3.6748,2.8226,19326990,169096628.0,5922758886.5,5922758886.5
