日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-12-27,'300067,安诺其,4.21,4.29,4.21,4.28,4.27,-0.06,-1.4052,1.2459,11492457,48927471.17,3918035708.52,3883439865.12
2019-12-26,'300067,安诺其,4.27,4.27,4.22,4.24,4.26,0.01,0.2347,0.9989,9269456,39365080.28,3973874697.24,3962527001.44
2019-12-25,'300067,安诺其,4.26,4.29,4.22,4.26,4.27,-0.01,-0.2342,1.0857,10074980,42884003.8,3954386799.12,3953247078.72
2019-12-24,'300067,安诺其,4.27,4.27,4.2,4.23,4.19,0.08,1.9093,0.8484,7873216,33342128.56,3963669397.24,3962527001.44
2019-12-23,'300067,安诺其,4.19,4.29,4.19,4.27,4.3,-0.11,-2.5581,1.3611,12631180,53618105.48,3889408612.28,3888287619.68
2019-12-20,'300067,安诺其,4.3,4.43,4.28,4.41,4.44,-0.14,-3.1532,2.2128,20534752,89371937.76,3991517191.6,3990366769.6
2019-12-19,'300067,安诺其,4.44,4.45,4.26,4.31,4.32,0.12,2.7778,3.2801,30439467,132940307.42,4121473565.28,4120285687.68
2019-12-18,'300067,安诺其,4.32,4.37,4.29,4.34,4.34,-0.02,-0.4608,2.1267,19735671,85339639.36,4010082387.84,4008926615.04
2019-12-17,'300067,安诺其,4.34,4.36,4.27,4.29,4.31,0.03,0.6961,2.1254,19723102,85153461.02,4028647584.08,4027486460.48
2019-12-16,'300067,安诺其,4.31,4.31,4.23,4.26,4.24,0.07,1.6509,1.6526,15336309,65573996.96,4000799789.72,3999646692.32
2019-12-13,'300067,安诺其,4.24,4.25,4.19,4.23,4.19,0.05,1.1933,0.8701,8074677,34057751.49,3935821602.88,3934687233.28
2019-12-12,'300067,安诺其,4.19,4.27,4.18,4.27,4.27,-0.08,-1.8735,1.0491,9735709,41121239.55,3889408612.28,3888287619.68
2019-12-11,'300067,安诺其,4.27,4.28,4.17,4.19,4.19,0.08,1.9093,1.5002,13921290,59089038.56,3963669397.24,3962527001.44
2019-12-10,'300067,安诺其,4.19,4.25,4.16,4.21,4.23,-0.04,-0.9456,0.9675,8978624,37671898.14,3889408612.28,3888287619.68
2019-12-09,'300067,安诺其,4.23,4.24,4.16,4.18,4.19,0.04,0.9547,1.0953,10224982,42981874.52,3950102439.72,3948970745.52
2019-12-06,'300067,安诺其,4.19,4.19,4.13,4.15,4.16,0.03,0.7212,0.975,9102616,37839737.02,3912749225.16,3911628232.56
2019-12-05,'300067,安诺其,4.16,4.17,4.12,4.13,4.11,0.05,1.2165,1.0284,9600763,39782422.1,3884734314.24,3883621347.84
2019-12-04,'300067,安诺其,4.11,4.13,4.07,4.09,4.12,-0.01,-0.2427,0.4585,4280336,17567341.3,3838042796.04,3836943206.64
2019-12-03,'300067,安诺其,4.12,4.12,4.06,4.1,4.11,0.01,0.2433,0.6653,6211092,25407662.6,3847381099.68,3846278834.88
2019-12-02,'300067,安诺其,4.11,4.17,4.11,4.14,4.13,-0.02,-0.4843,0.5914,5520840,22871842.2,3838042796.04,3836943206.64
2019-11-29,'300067,安诺其,4.13,4.15,4.11,4.15,4.16,-0.03,-0.7212,0.4618,4311434,17795023.06,3856719403.32,3855614463.12
2019-11-28,'300067,安诺其,4.16,4.17,4.11,4.11,4.13,0.03,0.7264,0.6373,5949167,24606029.16,3884734314.24,3883621347.84
