ÈÕÆÚ,¹ÉÆ±´úÂë,Ãû³Æ,ÊÕÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,¿ªÅÌ¼Û,Ç°ÊÕÅÌ,ÕÇµø¶î,ÕÇµø·ù,»»ÊÖÂÊ,³É½»Á¿,³É½»½ð¶î,×ÜÊÐÖµ,Á÷Í¨ÊÐÖµ
2019-12-27,'300012,»ª²â¼ì²â,14.75,15.02,14.66,14.88,14.9,-0.15,-1.0067,0.6512,10793498,159909206.89,24448578031.5,24448578031.5
2019-12-26,'300012,»ª²â¼ì²â,14.9,15.18,14.85,15.15,15.13,-0.23,-1.5202,0.7158,11864368,177013440.91,24697207638.6,24697207638.6
2019-12-25,'300012,»ª²â¼ì²â,15.13,15.27,14.83,14.94,14.99,0.14,0.934,0.8456,14016084,211466128.18,25078439702.8,25078439702.8
2019-12-24,'300012,»ª²â¼ì²â,14.99,14.99,14.3,14.51,14.51,0.48,3.3081,0.927,15365654,226657975.57,24846385402.9,24846385402.9
2019-12-23,'300012,»ª²â¼ì²â,14.51,15.08,14.5,14.67,14.51,0.0,0.0,1.143,18945434,279294956.76,24050770660.1,24050770660.1
2019-12-20,'300012,»ª²â¼ì²â,14.51,15.12,14.51,15.12,15.13,-0.62,-4.0978,1.7243,28580570,421570837.73,24050770660.1,24050770660.1
2019-12-19,'300012,»ª²â¼ì²â,15.13,15.66,14.9,15.05,15.03,0.1,0.6653,1.6346,27093614,412228268.8,25078439702.8,25078439702.8
2019-12-18,'300012,»ª²â¼ì²â,15.03,15.3,14.93,15.16,15.32,-0.29,-1.893,1.1959,19822442,298378886.04,24912686631.4,24912686631.4
2019-12-17,'300012,»ª²â¼ì²â,15.32,15.48,15.15,15.4,15.32,0.0,0.0,1.3155,21804640,334194429.68,25393370538.5,25393370538.5
2019-12-16,'300012,»ª²â¼ì²â,15.32,15.57,15.16,15.2,14.95,0.37,2.4749,2.0851,34560363,530179412.35,25393370538.5,25393370538.5
2019-12-13,'300012,»ª²â¼ì²â,14.95,15.27,14.37,14.42,14.38,0.57,3.9638,2.1704,35975868,540114358.88,24780084174.3,24780084174.3
2019-12-12,'300012,»ª²â¼ì²â,14.38,14.55,14.2,14.34,14.3,0.08,0.5594,0.7968,13206935,190393496.23,23835291667.3,23835291667.3
2019-12-11,'300012,»ª²â¼ì²â,14.3,14.38,14.18,14.35,14.32,-0.02,-0.1397,0.565,9364832,133772606.76,23702689210.2,23702689210.2
2019-12-10,'300012,»ª²â¼ì²â,14.32,14.39,14.03,14.2,14.18,0.14,0.9873,0.9466,15689543,223841229.12,23735839824.5,23735839824.5
2019-12-09,'300012,»ª²â¼ì²â,14.18,14.26,13.78,13.98,13.9,0.28,2.0144,1.0041,16643951,233770698.25,23503785524.5,23503785524.5
2019-12-06,'300012,»ª²â¼ì²â,13.9,13.98,13.72,13.9,13.86,0.04,0.2886,0.5956,9872575,136517661.03,23039676924.6,23039676924.6
2019-12-05,'300012,»ª²â¼ì²â,13.86,13.87,13.44,13.46,13.44,0.42,3.125,0.874,14486476,198798133.67,22973375696.0,22973375696.0
2019-12-04,'300012,»ª²â¼ì²â,13.44,13.5,13.27,13.48,13.45,-0.01,-0.0743,0.7374,12222772,163523437.78,22277212796.2,22277212796.2
2019-12-03,'300012,»ª²â¼ì²â,13.45,13.51,13.14,13.21,13.16,0.29,2.2036,1.0144,16813259,224046336.8,22293788103.3,22293788103.3
2019-12-02,'300012,»ª²â¼ì²â,13.16,13.59,13.0,13.56,13.58,-0.42,-3.0928,1.7966,29779212,394369065.88,21813104196.2,21813104196.2
2019-11-29,'300012,»ª²â¼ì²â,13.58,13.86,13.36,13.81,13.87,-0.29,-2.0908,0.9993,16563407,224536761.81,22509267096.1,22509267096.1
2019-11-28,'300012,»ª²â¼ì²â,13.87,13.98,13.75,13.87,13.87,0.0,0.0,0.4382,7263636,100705626.62,22989951003.2,22989951003.2
2019-11-27,'300012,»ª²â¼ì²â,13.87,13.97,13.65,13.83,13.86,0.01,0.0722,0.5939,9844183,135940457.0,22989951003.2,22989951003.2
2019-11-26,'300012,»ª²â¼ì²â,13.86,14.15,13.67,13.92,13.83,0.03,0.2169,1.1986,19866552,275738257.91,22973375696.0,22973375696.0
2019-11-25,'300012,»ª²â¼ì²â,13.83,14.04,13.55,13.86,13.88,-0.05,-0.3602,1.1124,18438476,254476200.52,22923649774.6,22923649774.6
2019-11-22,'300012,»ª²â¼ì²â,13.88,14.63,13.8,14.42,14.26,-0.38,-2.6648,1.477,24482284,348496024.25,23006526310.3,23006526310.3
2019-11-21,'300012,»ª²â¼ì²â,14.26,14.59,14.25,14.48,14.56,-0.3,-2.0604,0.7941,13162854,189147498.78,23636387981.6,23636387981.6
2019-11-20,'300012,»ª²â¼ì²â,14.56,14.63,14.32,14.45,14.54,0.02,0.1376,0.716,11867785,171619641.49,24133647195.8,24133647195.8
2019-11-19,'300012,»ª²â¼ì²â,14.54,14.57,14.08,14.12,14.16,0.38,2.6836,1.2103,20061591,288667034.28,24100496581.6,24100496581.6
2019-11-18,'300012,»ª²â¼ì²â,14.16,14.47,14.0,14.39,14.3,-0.14,-0.979,1.21,20056561,283645559.18,23470634910.2,23470634910.2
