ศีฦฺ,นษฦฑด๚ย๋,ร๛ณฦ,สีลฬผÛ,ื๎ธ฿ผÛ,ื๎ตอผÛ,ฟชลฬผÛ,วฐสีลฬ,ีวต๘ถ๎,ีวต๘ท๙,ปปสึยส,ณษฝปมฟ,ณษฝปฝ๐ถ๎,ืÜสะึต,ม๗อจสะึต
2019-12-27,'300206,ภํฐ๎าวฦ๗,7.17,7.28,7.11,7.27,7.27,-0.1,-1.3755,0.9549,5555079,39955416.69,4170945635.82,4170945635.82
2019-12-26,'300206,ภํฐ๎าวฦ๗,7.27,7.27,7.18,7.22,7.2,0.07,0.9722,0.6456,3755670,27132685.41,4229117820.42,4229117820.42
2019-12-25,'300206,ภํฐ๎าวฦ๗,7.2,7.23,7.15,7.2,7.23,-0.03,-0.4149,0.61,3548278,25520137.05,4188397291.2,4188397291.2
2019-12-24,'300206,ภํฐ๎าวฦ๗,7.23,7.23,7.05,7.08,7.08,0.15,2.1186,0.7071,4113421,29380822.9,4205848946.58,4205848946.58
2019-12-23,'300206,ภํฐ๎าวฦ๗,7.08,7.29,7.07,7.27,7.28,-0.2,-2.7473,0.8456,4918900,35423344.0,4118590669.68,4118590669.68
2019-12-20,'300206,ภํฐ๎าวฦ๗,7.28,7.44,7.27,7.43,7.42,-0.14,-1.8868,1.0389,6043556,44434237.12,4234935038.88,4234935038.88
2019-12-19,'300206,ภํฐ๎าวฦ๗,7.42,7.45,7.3,7.4,7.42,0.0,0.0,1.3198,7677377,56609633.55,4316376097.32,4316376097.32
2019-12-18,'300206,ภํฐ๎าวฦ๗,7.42,7.52,7.27,7.34,7.32,0.1,1.3661,1.7993,10466990,77314372.2,4316376097.32,4316376097.32
2019-12-17,'300206,ภํฐ๎าวฦ๗,7.32,7.36,7.25,7.31,7.31,0.01,0.1368,1.184,6887574,50360606.12,4258203912.72,4258203912.72
2019-12-16,'300206,ภํฐ๎าวฦ๗,7.31,7.36,7.22,7.29,7.26,0.05,0.6887,0.9594,5580934,40697245.7,4252386694.26,4252386694.26
2019-12-13,'300206,ภํฐ๎าวฦ๗,7.26,7.26,7.12,7.15,7.13,0.13,1.8233,0.8016,4662934,33507348.76,4223300601.96,4223300601.96
2019-12-12,'300206,ภํฐ๎าวฦ๗,7.13,7.16,7.08,7.16,7.17,-0.04,-0.5579,0.4823,2805489,19972913.57,4147676761.98,4147676761.98
2019-12-11,'300206,ภํฐ๎าวฦ๗,7.17,7.27,7.1,7.26,7.22,-0.05,-0.6925,0.5653,3288650,23573071.5,4170945635.82,4170945635.82
2019-12-10,'300206,ภํฐ๎าวฦ๗,7.22,7.22,7.01,7.04,7.08,0.14,1.9774,0.9242,5376409,38389310.51,4200031728.12,4200031728.12
2019-12-09,'300206,ภํฐ๎าวฦ๗,7.08,7.14,7.0,7.1,7.12,-0.04,-0.5618,0.5471,3182650,22434176.5,4118590669.68,4118590669.68
2019-12-06,'300206,ภํฐ๎าวฦ๗,7.12,7.13,7.04,7.07,7.07,0.05,0.7072,0.4498,2616415,18522672.5,4141859543.52,4141859543.52
2019-12-05,'300206,ภํฐ๎าวฦ๗,7.07,7.13,7.03,7.05,7.05,0.02,0.2837,0.4782,2782000,19689752.0,4112773451.22,4112773451.22
2019-12-04,'300206,ภํฐ๎าวฦ๗,7.05,7.08,7.0,7.01,7.08,-0.03,-0.4237,0.4032,2345785,16513575.85,4101139014.3,4101139014.3
2019-12-03,'300206,ภํฐ๎าวฦ๗,7.08,7.09,6.91,7.02,7.04,0.04,0.5682,0.776,4514057,31670602.59,4118590669.68,4118590669.68
